Player Name,Category,Role,Base Price (k),Sold To
Virat Kohli,Batter,Top Order,20000,
Rohit Sharma,Batter,Top Order,20000,
Shubman Gill,Batter,Top Order,15000,
Suryakumar Yadav,Batter,Middle Order,15000,
Ruturaj Gaikwad,Batter,Top Order,10000,
Hardik Pandya,All-rounder,Pace AR,20000,
Ravindra Jadeja,All-rounder,Spin AR,20000,
Ben Stokes,All-rounder,Pace AR,20000,
Andre Russell,All-rounder,Pace AR,20000,
Glenn Maxwell,All-rounder,Spin AR,17500,
Jasprit Bumrah,Bowler,Pacer,20000,
Mohammed Shami,Bowler,Pacer,15000,
Mohammed Siraj,Bowler,Pacer,12500,
Trent Boult,Bowler,Pacer,15000,
Kagiso Rabada,Bowler,Pacer,15000,
David Warner,Batter,Opener,15000,
Faf du Plessis,Batter,Opener,10000,
Sanju Samson,Batter,Middle Order,10000,
Tilak Varma,Batter,Middle Order,10000,
Rinku Singh,Batter,Finisher,10000,
Liam Livingstone,All-rounder,Power Hitter,15000,
Axar Patel,All-rounder,Spin AR,12500,
Marcus Stoinis,All-rounder,Pace AR,12500,
Moeen Ali,All-rounder,Spin AR,10000,
Mitchell Marsh,All-rounder,Pace AR,12500,
Anrich Nortje,Bowler,Pacer,12500,
Bhuvneshwar Kumar,Bowler,Pacer,10000,
Deepak Chahar,Bowler,Pacer,10000,
Arshdeep Singh,Bowler,Pacer,10000,
Prasidh Krishna,Bowler,Pacer,7500,
KL Rahul,Batter,Top Order,15000,
Jos Buttler,Batter,Opener,20000,
Ishan Kishan,Batter,Opener,12500,
Devdutt Padikkal,Batter,Top Order,7500,
Rahul Tripathi,Batter,Middle Order,7500,
Washington Sundar,All-rounder,Spin AR,7500,
Abhishek Sharma,All-rounder,Spin AR,7500,
Shivam Dube,All-rounder,Power Hitter,7500,
Krunal Pandya,All-rounder,Spin AR,7500,
Nitish Reddy,All-rounder,Pace AR,5000,
Avesh Khan,Bowler,Pacer,7500,
Rashid Khan,Bowler,Spinner,20000,
Yuzvendra Chahal,Bowler,Spinner,15000,
Kuldeep Yadav,Bowler,Spinner,12500,
Ravichandran Ashwin,Bowler,Spinner,12500,
Nicholas Pooran,Batter,Finisher,15000,
Jonny Bairstow,Batter,Top Order,12500,
Quinton de Kock,Batter,Opener,12500,
Dinesh Karthik,Batter,Finisher,7500,
Jitesh Sharma,Batter,Finisher,7500,
Cameron Green,All-rounder,Pace AR,15000,
Sam Curran,All-rounder,Pace AR,15000,
Jason Holder,All-rounder,Pace AR,10000,
Romario Shepherd,All-rounder,Pace AR,7500,
Shardul Thakur,All-rounder,Pace AR,10000,
Varun Chakravarthy,Bowler,Spinner,10000,
Noor Ahmad,Bowler,Spinner,7500,
Rahul Chahar,Bowler,Spinner,7500,
T Natarajan,Bowler,Pacer,10000,
Umran Malik,Bowler,Pacer,7500,
